ds,yhat,y_pred_lower,y_pred_upper
2019-01-01 01:00:00,7389.446124529314,7218.29022425901,7560.602024799618
2019-01-01 02:00:00,7349.050697323476,7179.031793637847,7519.069601009105
2019-01-01 03:00:00,7269.043902836616,7102.959814819775,7435.127990853458
2019-01-01 04:00:00,7097.236399577506,6929.6354569654995,7264.837342189512
2019-01-01 05:00:00,6890.188883218277,6720.710064357121,7059.667702079432
2019-01-01 06:00:00,6889.644074134323,6722.279553316271,7057.0085949523755
2019-01-01 07:00:00,6992.874063118384,6831.888645080893,7153.859481155874
2019-01-01 08:00:00,7353.582594092767,7189.047199113766,7518.1179890717685
2019-01-01 09:00:00,7520.607964063934,7349.603631936894,7691.612296190973
2019-01-01 10:00:00,7627.873607392788,7473.103197980849,7782.644016804727
2019-01-01 11:00:00,7727.48276868261,7562.052924589894,7892.912612775326
2019-01-01 12:00:00,7679.750203678983,7524.983627244581,7834.516780113385
2019-01-01 13:00:00,7647.5747041177865,7487.79230841926,7807.357099816313
2019-01-01 14:00:00,7535.742125087777,7374.181184679004,7697.30306549655
2019-01-01 15:00:00,7518.781467725425,7350.8107471249505,7686.752188325899
2019-01-01 16:00:00,7694.223047738017,7532.476997051614,7855.969098424421
2019-01-01 17:00:00,8094.763481733708,7934.345522190522,8255.181441276894
2019-01-01 18:00:00,8378.150064170077,8203.530333959952,8552.769794380201
2019-01-01 19:00:00,8717.91650763817,8549.488897555686,8886.344117720655
2019-01-01 20:00:00,8575.616370725398,8409.264456631703,8741.968284819093
2019-01-01 21:00:00,8460.268305381109,8287.86227361477,8632.674337147448
2019-01-01 22:00:00,8224.716800304659,8055.444734353954,8393.988866255364
2019-01-01 23:00:00,7724.256369624727,7552.668768900031,7895.843970349423
2019-01-02 00:00:00,7440.15774364143,7276.157854603793,7604.157632679067
2019-01-02 01:00:00,7110.868830064994,6941.594605047188,7280.143055082799
2019-01-02 02:00:00,7098.956977809688,6931.123287813612,7266.790667805765
2019-01-02 03:00:00,6909.800523409006,6739.85917341089,7079.741873407122
2019-01-02 04:00:00,7021.625597040637,6853.364705201799,7189.886488879476
2019-01-02 05:00:00,6945.4124576390695,6773.644200338824,7117.180714939315
2019-01-02 06:00:00,7220.816500304031,7058.144870879947,7383.488129728115
2019-01-02 07:00:00,7305.2876468008735,7138.949357282964,7471.625936318783
2019-01-02 08:00:00,7791.0668468645235,7631.359470648929,7950.774223080118
2019-01-02 09:00:00,8103.226423943601,7940.001739521633,8266.451108365569
2019-01-02 10:00:00,8145.309649560751,7990.588912758694,8300.030386362807
2019-01-02 11:00:00,8156.446678372224,7986.88832726008,8326.005029484368
2019-01-02 12:00:00,8171.873662980019,8007.187719595262,8336.559606364775
2019-01-02 13:00:00,8094.591293435807,7927.6831270643725,8261.49945980724
2019-01-02 14:00:00,8110.665531219008,7950.338334218829,8270.992728219186
2019-01-02 15:00:00,8044.0094212762015,7878.621400133401,8209.397442419002
2019-01-02 16:00:00,8118.196831020982,7957.368861498087,8279.024800543877
2019-01-02 17:00:00,8283.919281167115,8111.222262762225,8456.616299572004
2019-01-02 18:00:00,8789.78447400032,8630.900380064777,8948.668567935863
2019-01-02 19:00:00,9122.62352964648,8950.515105552257,9294.731953740704
2019-01-02 20:00:00,8809.855167392328,8641.717230494414,8977.993104290243
2019-01-02 21:00:00,8592.776489502134,8426.349446542916,8759.203532461352
2019-01-02 22:00:00,8437.9331857013,8271.958052428523,8603.908318974078
2019-01-02 23:00:00,8067.7120687974275,7899.1702966940575,8236.253840900798
2019-01-03 00:00:00,7596.697856610726,7433.320981075167,7760.074732146286
2019-01-03 01:00:00,7350.875824148896,7180.082910589153,7521.668737708639
2019-01-03 02:00:00,7230.336272672277,7058.722725995858,7401.949819348696
2019-01-03 03:00:00,7169.6826008183525,7001.962144756267,7337.403056880438
2019-01-03 04:00:00,7201.242908430166,7034.481813000939,7368.0040038593925
2019-01-03 05:00:00,7220.9619563754295,7058.168279764959,7383.7556329859
2019-01-03 06:00:00,7444.293689991117,7278.138504105309,7610.448875876926
2019-01-03 07:00:00,7742.195977196355,7574.834654301849,7909.557300090861
2019-01-03 08:00:00,8048.991908588943,7876.366443369872,8221.617373808014
2019-01-03 09:00:00,8274.774593235148,8109.587839243877,8439.96134722642
2019-01-03 10:00:00,8206.49457656674,8042.104287018692,8370.884866114788
2019-01-03 11:00:00,8137.826881685473,7971.039827928624,8304.613935442323
2019-01-03 12:00:00,8024.974357114166,7856.40443482565,8193.544279402682
2019-01-03 13:00:00,7866.6115867202925,7702.536508322001,8030.686665118584
2019-01-03 14:00:00,7822.592820245662,7650.982818787052,7994.202821704272
2019-01-03 15:00:00,7806.437032218594,7634.060873518038,7978.813190919151
2019-01-03 16:00:00,7923.118036545093,7747.708757482875,8098.527315607311
2019-01-03 17:00:00,8258.611588729133,8088.615440198857,8428.607737259408
2019-01-03 18:00:00,8672.054365038874,8505.691541537264,8838.417188540483
2019-01-03 19:00:00,9199.873328507609,9022.759892866745,9376.986764148473
2019-01-03 20:00:00,8876.73911705702,8708.546202517144,9044.932031596898
2019-01-03 21:00:00,8797.074413642678,8638.908459112568,8955.240368172788
2019-01-03 22:00:00,8526.66088561099,8357.972908895099,8695.348862326882
2019-01-03 23:00:00,8084.632141747084,7921.990051182559,8247.274232311607
2019-01-04 00:00:00,7686.244035577537,7525.863557973501,7846.624513181573
2019-01-04 01:00:00,7335.948083884055,7166.403563432008,7505.492604336103
2019-01-04 02:00:00,7191.247773444967,7033.127028026107,7349.3685188638265
